customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges
C00000,Male,0,Yes,No,42,Yes,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Credit card,102.81,Yes,4352.74
C00001,Female,1,Yes,Yes,68,Yes,Yes,DSL,No,Yes,One year,Yes,Credit card,80.8,No,5507.8
C00002,Male,0,No,Yes,62,Yes,No,No,No,No,One year,No,Mailed check,74.73,No,4671.41
C00003,Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer,61.23,No,4263.35
C00004,Male,0,Yes,No,64,No,Yes,DSL,Yes,No,Month-to-month,Yes,Credit card,26.39,No,1714.0
C00005,Female,1,Yes,No,66,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,92.48,No,6124.46
C00006,Male,0,Yes,No,53,Yes,No phone service,Fiber optic,No,Yes,Month-to-month,No,Bank transfer,52.32,Yes,2805.01
C00007,Male,0,No,No,35,Yes,Yes,DSL,Yes,No internet service,Two year,Yes,Electronic check,37.86,No,1325.92
C00008,Male,0,No,No,70,Yes,No phone service,DSL,Yes,Yes,Month-to-month,Yes,Credit card,29.56,No,2111.99
C00009,Female,0,No,No,14,Yes,No,DSL,No internet service,No,Month-to-month,Yes,Mailed check,25.91,No,405.97
C00010,Male,0,No,No,17,Yes,Yes,No,Yes,No internet service,One year,No,Electronic check,66.02,No,1147.6
C00011,Male,0,No,No,3,Yes,No,No,No internet service,No,Month-to-month,Yes,Electronic check,102.54,Yes,308.45
C00012,Male,0,No,No,10,Yes,No phone service,DSL,No internet service,Yes,Month-to-month,Yes,Bank transfer,31.0,No,328.57
C00013,Male,0,No,No,5,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,69.99,No,372.71
C00014,Female,0,Yes,No,50,Yes,Yes,Fiber optic,No,No,One year,No,Bank transfer,56.29,No,2856.53
C00015,Male,0,No,No,57,Yes,No,Fiber optic,No,Yes,One year,No,Electronic check,72.53,No,4135.92
C00016,Female,0,No,Yes,59,Yes,No,DSL,No,Yes,Two year,No,Credit card,23.86,No,1433.13
C00017,Female,0,No,No,17,Yes,No,Fiber optic,No,No,Month-to-month,No,Bank transfer,72.05,Yes,1247.83
C00018,Female,1,No,No,66,Yes,No phone service,DSL,No,No internet service,Month-to-month,No,Mailed check,73.55,Yes,4865.38
C00019,Male,0,Yes,Yes,16,Yes,No phone service,DSL,No,No internet service,Two year,Yes,Mailed check,105.88,No,1706.25
C00020,Female,1,No,No,33,Yes,No phone service,DSL,No internet service,No internet service,One year,Yes,Electronic check,38.15,No,1288.0
C00021,Male,0,No,Yes,29,Yes,No phone service,DSL,No internet service,No,Two year,Yes,Mailed check,100.29,No,2956.85
C00022,Female,0,Yes,No,18,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,93.89,Yes,1729.67
C00023,Female,1,No,Yes,8,Yes,No phone service,No,No,Yes,Month-to-month,Yes,Bank transfer,110.36,No,907.89
C00024,Female,0,No,No,39,Yes,No phone service,No,No internet service,No internet service,Month-to-month,No,Credit card,110.21,No,4326.89
C00025,Female,0,No,No,43,Yes,Yes,DSL,No internet service,Yes,Month-to-month,No,Electronic check,95.38,No,4130.05
C00026,Female,0,No,Yes,58,Yes,No phone service,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,111.45,No,6499.17
C00027,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,No,Bank transfer,44.15,No,1076.47
C00028,Female,0,No,Yes,70,Yes,No phone service,Fiber optic,No,No,Month-to-month,Yes,Electronic check,33.72,Yes,2394.2
C00029,Female,0,No,No,52,Yes,Yes,DSL,No,Yes,Two year,No,Bank transfer,46.32,No,2421.36
C00030,Male,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,102.83,No,4873.16
C00031,Male,0,Yes,Yes,70,Yes,Yes,DSL,No internet service,No,Month-to-month,Yes,Credit card,49.67,No,3523.92
C00032,Female,0,No,No,52,Yes,No,No,No,No,Two year,Yes,Bank transfer,100.68,No,5263.41
C00033,Female,0,Yes,Yes,48,Yes,No,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer,55.57,No,2670.93
C00034,Female,0,No,No,42,No,No,Fiber optic,No,No,Month-to-month,Yes,Credit card,98.75,No,4183.09
C00035,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,Electronic check,103.56,Yes,1910.45
C00036,Female,1,No,No,65,Yes,No,DSL,Yes,Yes,Month-to-month,No,Bank transfer,86.47,No,5667.76
C00037,Male,0,Yes,No,33,No,No,DSL,No,No,Two year,No,Mailed check,116.94,No,3904.56
C00038,Male,1,No,No,72,Yes,No,DSL,No internet service,No,One year,Yes,Credit card,91.76,No,6634.89
